dish,axis,sentence,extra_article
Tacos al Pastor,"international, exotisch",alles für Tacos al Pastor,
Ceviche,"international, exotisch",alles für Ceviche,
Kürbissuppe,vegetarisch/vegan,"alles für Kürbissuppe, und Spülschwamm",Spülschwamm
Tofu-Curry,vegetarisch/vegan,alles für Tofu-Curry,
Auberginen-Parmigiana,vegetarisch/vegan,alles für Auberginen-Parmigiana,
Bohnen-Burger,vegetarisch/vegan,alles für Bohnen-Burger,
Grünkern-Bratlinge,vegetarisch/vegan,alles für Grünkern-Bratlinge,
Spinatknödel,vegetarisch/vegan,alles für Spinatknödel,
Bienenstich,Backen,alles für Bienenstich,
Brezeln,Backen,alles für Brezeln,
Zimtschnecken,Backen,alles für Zimtschnecken,
Schwarzwälder Kirschtorte,Backen,alles für Schwarzwälder Kirschtorte,
Brownies,Backen,"alles für Brownies, und Duschgel",Duschgel
Vollkornbrot,Backen,alles für Vollkornbrot,
Bruschetta,zählbare Einheiten,alles für Bruschetta,
Eier in Senfsoße,zählbare Einheiten,alles für Eier in Senfsoße,
Gefüllte Zucchini,zählbare Einheiten,alles für Gefüllte Zucchini,
Blumenkohl mit Butterbröseln,zählbare Einheiten,alles für Blumenkohl mit Butterbröseln,
Zwiebelsuppe,zählbare Einheiten,alles für Zwiebelsuppe,
Lachs mit Dillsoße,zählbare Einheiten,alles für Lachs mit Dillsoße,
Pfannkuchen,Einwort-Gericht,alles für Pfannkuchen,
Schnitzel,Einwort-Gericht,alles für Schnitzel,
Gulaschsuppe,Einwort-Gericht,"alles für Gulaschsuppe, und Klopapier",Klopapier
Grießbrei,Einwort-Gericht,alles für Grießbrei,
Reibekuchen,Einwort-Gericht,alles für Reibekuchen,
Tzatziki,Einwort-Gericht,alles für Tzatziki,
Curry,mehrdeutig,Curry,
Nudeln,mehrdeutig,Nudeln,
Bowl,mehrdeutig,Bowl,
Kuchen,mehrdeutig,Kuchen,
Pfanne,mehrdeutig,Pfanne,
Curry als ganzer Satz,mehrdeutig,alles für Curry,
Spaghetti Carbonara,Schreibweise/Tippfehler,alles für Spaghetti Carbonara,
Spagetti Carbonara,Schreibweise/Tippfehler,alles für Spagetti Carbonara,
Gnocci,Schreibweise/Tippfehler,alles für Gnocci,
Cesar Salad,Schreibweise/Tippfehler,alles für Cesar Salad,
Kürbisuppe,Schreibweise/Tippfehler,alles für Kürbisuppe,
Zaziki,Schreibweise/Tippfehler,alles für Zaziki,
Knusperzwerg-Auflauf,Fantasiename,"alles für Knusperzwerg-Auflauf, und Batterien",Batterien
Brummelbeer-Torte,Fantasiename,alles für Brummelbeer-Torte,
Flitzepfanne Deluxe,Fantasiename,alles für Flitzepfanne Deluxe,
Kürbisrisotto,bereits gespeichert,alles für Kürbisrisotto,
Tomatensuppe,bereits gespeichert,alles für Tomatensuppe,
Nudelsalat,bereits gespeichert,"alles für Nudelsalat, und Kaffeefilter",Kaffeefilter
